nombre;codigo_local;provincia;distrito;centro_poblado;direccion;tipo_gestion
OLIVOS;675865;Chiclayo;Chiclayo;CHICLAYO;AVENIDA BOLOGNESI S/N;Privada
MI MUNDO Y LOS NIÑOS;678326;Chiclayo;Tumán;TUMAN;BLOCK;Privada
PRINCIPE DE PAZ;684209;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;MZ A LOTE 10;Privada
JOYITAS DE JESUS COLLEGE;684214;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE ABRAHAM LINCOLN 1150-1190;Privada
TECH NOR COLLEGE;684228;Chiclayo;Chiclayo;CHICLAYO;CALLE LORA Y CORDERO 452;Privada
PRISMA - MONSEFU;690795;Chiclayo;Monsefú;MONSEFU;AVENIDA SIMON BOLIVAR 595;Privada
ALBERT EINSTEIN;693317;Chiclayo;Pomalca;POMALCA;MZ I LOTE 2;Privada
AMJELS;693336;Chiclayo;Chiclayo;CHICLAYO;CALLE BERNARDINO OCHOA 06;Privada
PURISIMA VIRGEN DE GUADALUPE;693341;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE LOS JAZMINES MZ F LOTE 33-34;Privada
MADRE CATERINA COROMINA AGUSTI;693355;Chiclayo;Chiclayo;9 DE OCTUBRE;CALLE LOS ROBLES 535;Privada
JOSE ANTONIO ENCINAS;693360;Chiclayo;Reque;REQUE;MZ LL LOTE 32 SECTOR NUEVO REQUE;Privada
MARIA DE LOS SANTOS;693379;Chiclayo;La Victoria;LA VICTORIA;AVENIDA GRAN CHIMU 1564;Privada
ADAM SMITH;699692;Chiclayo;Santa Rosa;SANTA ROSA;CALLE MANUEL SEOANE 220;Privada
LAS ESTRELLITAS DE JESUS;699710;Chiclayo;Chiclayo;CHICLAYO;CALLE INDOAMERICA 167;Privada
APRENDIENDO JUNTOS;700450;Chiclayo;Santa Rosa;SANTA ROSA;AVENIDA VENEZUELA 805 SECTOR LAS LOMAS;Privada
SAN LORENZO;700469;Chiclayo;Chongoyape;CUCULI;MZ B LOTE 10;Privada
MICHELLE;700474;Chiclayo;Chiclayo;CHICLAYO;MZ C LOTE 7;Privada
SANTO TORIBIO DE MOGROVEJO;705914;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;AVENIDA AUGUSTO B. LEGUIA 2598;Privada
PAMER CHICLAYO;705928;Chiclayo;Pimentel;PIMENTEL;CARRETERA PIMENTEL KM. 8.5;Privada
